timestamp,esgScore,governanceScore,environmentScore,socialScore,ticker,peer_group
2014-09-01,57.27272727272727,64.23636363636363,51.345454545454544,58.03636363636364,TGT,Retailing
2014-10-01,57.357142857142854,64.28571428571429,51.44642857142857,58.125,TGT,Retailing
2014-11-01,57.357142857142854,64.28571428571429,51.44642857142857,58.107142857142854,TGT,Retailing
2014-12-01,57.267857142857146,64.28571428571429,51.285714285714285,58.125,TGT,Retailing
2015-01-01,57.25,64.41071428571429,51.19642857142857,58.0,TGT,Retailing
2015-02-01,57.5,64.875,51.392857142857146,58.232142857142854,TGT,Retailing
2015-03-01,57.785714285714285,65.33928571428571,51.410714285714285,58.517857142857146,TGT,Retailing
2015-04-01,57.92857142857143,65.10714285714286,51.625,58.82142857142857,TGT,Retailing
2015-05-01,57.92857142857143,65.125,51.625,58.82142857142857,TGT,Retailing
2015-06-01,57.839285714285715,65.08928571428571,51.785714285714285,58.42857142857143,TGT,Retailing
2015-07-01,57.578947368421055,65.08771929824562,51.175438596491226,58.35087719298246,TGT,Retailing
2015-08-01,57.73684210526316,65.08771929824562,51.68421052631579,58.333333333333336,TGT,Retailing
2015-09-01,57.719298245614034,65.08771929824562,51.63157894736842,58.31578947368421,TGT,Retailing
2015-10-01,57.728813559322035,65.16949152542372,51.45762711864407,58.47457627118644,TGT,Retailing
2015-11-01,57.66101694915254,64.84745762711864,51.3728813559322,58.54237288135593,TGT,Retailing
2015-12-01,57.91525423728814,65.20338983050847,51.932203389830505,58.52542372881356,TGT,Retailing
2016-01-01,57.89559322033899,65.2615254237288,52.0193220338983,58.43288135593221,TGT,Retailing
2016-02-01,57.86915254237289,65.2615254237288,52.0193220338983,58.36677966101696,TGT,Retailing
2016-03-01,57.79966101694916,65.24389830508474,51.84711864406779,58.35525423728815,TGT,Retailing
2016-04-01,56.23898305084746,65.52999999999999,52.24762711864406,53.92372881355933,TGT,Retailing
2016-05-01,56.15999999999998,65.51305084745762,52.217457627118634,53.763559322033906,TGT,Retailing
2016-06-01,56.12016949152542,65.5028813559322,52.016949152542374,53.84593220338983,TGT,Retailing
2016-07-01,55.91796610169491,65.29627118644068,51.73593220338982,53.71508474576271,TGT,Retailing
2016-08-01,55.93203389830507,65.41050847457628,51.75966101694914,53.65830508474576,TGT,Retailing
2016-09-01,55.885593220338976,65.23830508474576,51.83830508474575,53.58169491525423,TGT,Retailing
2016-10-01,55.64583333333333,65.05166666666666,51.68166666666665,53.23583333333333,TGT,Retailing
2016-11-01,55.62749999999998,65.05166666666666,51.68166666666665,53.18983333333333,TGT,Retailing
2016-12-01,55.59733333333333,64.82600000000001,51.80233333333332,53.15,TGT,Retailing
2017-01-01,55.793166666666664,64.92699999999999,51.77966666666666,53.59449999999999,TGT,Retailing
2017-02-01,55.793166666666664,64.92699999999999,51.77966666666666,53.59449999999999,TGT,Retailing
2017-03-01,55.284354838709675,64.6358064516129,51.35532258064516,52.87580645161289,TGT,Retailing
2017-04-01,55.10935483870968,64.66564516129031,51.19903225806452,52.5566129032258,TGT,Retailing
2017-05-01,54.90241935483871,64.45951612903224,51.171935483870975,52.190967741935474,TGT,Retailing
2017-06-01,54.90241935483871,64.4448387096774,51.34241935483872,52.05112903225806,TGT,Retailing
2017-07-01,54.839516129032255,64.38999999999999,51.22032258064517,52.03516129032258,TGT,Retailing
2017-08-01,55.155967741935484,64.89161290322579,51.50032258064516,52.26774193548387,TGT,Retailing
2017-09-01,55.01290322580647,64.85919354838708,51.17806451612903,52.21225806451613,TGT,Retailing
2017-10-01,54.6283870967742,61.85983870967741,51.85467741935485,52.537419354838676,TGT,Retailing
2017-11-01,54.69416666666666,61.98716666666666,51.87716666666668,52.60299999999997,TGT,Retailing
2017-12-01,54.6675,61.9355,51.83900000000002,52.60133333333331,TGT,Retailing
2018-01-01,54.55850000000001,61.9955,51.767500000000005,52.35333333333332,TGT,Retailing
